"ID","NOMBRE_EMP","NOMBRE_FAE","REGIÓN_IN","PROVINCIA","COMUNA_INS","NOMBRE_INS","TIPO_INSTA","RECOBRERSO","UTM_NORTE","UTM_ESTE","LATITUD","LONGITUD","ESTADO_INS","METODO_CONS","NEAR_DIST","VOL_AUTORIZADO","VOL_ACTUAL","TOS/IUTORIZADO","TOS/ICTUAL","RES_APRUEBA","RES_PDC_APRUEBA","RES_PDC_FECHA","RES_APRUEBA_FECHA"
"1","ENAMI","PLANTA JOSE ANTONIO MORENO","II","ANTOFAGASTA","TALTAL","PUNTA MORADO","TRANQUE DE RELAVE","COBRE","7191282.31","353574.44","-25.3881","-70.4556","INACTIVO","S/I","107379.94370455","1121664","0","1682496","0","1161","1530","6/4/2015","9/29/1992"
"2","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","RELAVE FILTRADO","FILTRADO","COBRE-ORO","6393385.00","322587.00","-32.5828","-70.8902","ACTIVO","FILTRADO","S/I","S/I","S/I","80568","S/I","114","S/I","S/I","3/6/2023"
"3","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 5","TRANQUE DE RELAVE","COBRE-ORO","6393867.39","322933.81","-32.5785","-70.8864","INACTIVO","EJE CENTRAL","23869.685188132","1625000","0","2473500","0","252","615","4/7/2009","3/24/2008"
"4","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 4","TRANQUE DE RELAVE","COBRE-ORO","6393748.86","323198.39","-32.5796","-70.8836","INACTIVO","AGUAS ARRIBA","24144.800424701","1050000","0","1575000","0","S/I","615","4/7/2009","S/I"
"5","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 3","TRANQUE DE RELAVE","COBRE-ORO","6393617.62","323441.81","-32.5808","-70.8810","INACTIVO","AGUAS ARRIBA","23908.518937256","660000","0","990000","0","135","615","4/7/2009","7/19/1972"
"6","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 2","TRANQUE DE RELAVE","COBRE-ORO","6393435.59","323657.71","-32.5825","-70.8788","INACTIVO","AGUAS ARRIBA","23630.954791797","590000","0","885000","0","S/I","615","4/7/2009","S/I"
"7","CIA. MINERA CERRO NEGRO S.A.","PLANTA CERRO NEGRO","V","PETORCA","CABILDO","CERRO NEGRO 1","TRANQUE DE RELAVE","COBRE-ORO","6393357.27","323740.26","-32.5832","-70.8779","INACTIVO","AGUAS ARRIBA","23518.097972561","480000","0","720000","0","S/I","615","4/7/2009","S/I"
"8","ALEJANDRO LOPEZ ALIAGA","PLANTA VETA DEL AGUA","V","QUILLOTA","NOGALES","VETA DEL AGUA 1-2-3-4","EMBALSE","ORO","6381689.54","300150.41","-32.6844","-71.1316","INACTIVO","EMBALSE","8739.0559616196","1565000","0","2347500","0","S/I","S/I","S/I","S/I"
"9","ALEJANDRO LOPEZ ALIAGA","PLANTA VETA DEL AGUA","V","QUILLOTA","NOGALES","VETA DEL AGUA 6","EMBALSE","ORO","6381894.33","299810.68","-32.6825","-71.1352","ACTIVO","EMBALSE","8631.9574652998","358795","287949","538192","431632","1784","S/I","S/I","6/20/2011"
"10","MINERA LAS JUNTAS (EX MINAS SAN ANDRES)","PLANTAS EL PINGO Y SANTA MARIA","IV","LIMARI","MONTE PATRIA","EL PINGO ","TRANQUE DE RELAVE","COBRE-ORO","6586777.10","348767.00","-30.8425","-70.5815","INACTIVO","EJE CENTRAL","39499.02461253","101600","0","152400","0","S/I","S/I","S/I","S/I"
"11","MANTOS COOPER","MANTOS BLANCOS","II","ANTOFAGASTA","ANTOFAGASTA","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","7407094.87","393418.53","-23.4426","-70.0434","INACTIVO","S/I","42677.700771175","5333333","0","8000000","0","1218","209","2/14/2013","7/12/1979"
"12","MINERA CRISTAL LIMITADA","MINERA CRISTAL LIMITADA","II","EL LOA","CALAMA","DEPÓSITO TUINA","EMBALSE","COBRE","7507353.95","558069.01","-22.5394","-68.4353","ACTIVO","EMBALSE","S/I","S/I","S/I","112575","S/I","724","S/I","S/I","18-06-2018"
"13","MINERA ESCONDIDA LTDA.","ESCONDIDA","II","ANTOFAGASTA","ANTOFAGASTA","EMBALSE DE RELAVE","EMBALSE","COBRE","7308034.27","493097.24","-24.3408","-69.0680","INACTIVO","EMBALSE","155372.55096198","40158","0","60237","0","S/I","S/I","S/I","S/I"
"14","CIA. MINERA CERRO DOMINADOR","PLANTA CALLEJAS ZAMORA","II","ANTOFAGASTA","SIERRA GORDA","TRANQUE 1","TRANQUE DE RELAVE","COBRE","7477677.83","459875.65","-22.8080","-69.3910","INACTIVO","S/I","62017.933206863","1250000","0","1875000","0","1081","1936","7/30/2015","11/10/1989"
"15","CIA. MINERA CERRO DOMINADOR","PLANTA CALLEJAS ZAMORA","II","ANTOFAGASTA","SIERRA GORDA","TRANQUE 4","EMBALSE","COBRE","7477474.02","459375.85","-22.8099","-69.3959","INACTIVO","EMBALSE","62532.925119152","672981","588181","1009472","882272","885","1936","7/30/2015","7/22/2013"
"16","JORGE WENKE","EL ESCORIAL","V","PETORCA","CABILDO","EL ESCORIAL 2","TRANQUE DE RELAVE","COBRE-ORO","6410690.24","305639.04","-32.4240","-71.0671","INACTIVO","AGUAS ARRIBA","708.15181521791","80000","0","120000","0","450","S/I","S/I","5/7/1996"
"17","SOC. MINERA SAN MIGUEL ","FAENA SAN MIGUEL (EX-ANDACOLLO)","IV","ELQUI","ANDACOLLO","SAN MIGUEL 1 (EX-ANDACOLLO 1)","TRANQUE DE RELAVE","ORO-COBRE","6653481.39","301211.92","-30.2340","-71.0657","INACTIVO","AGUAS ARRIBA","3679.4130018762","89100","0","133650","0","1729","S/I","S/I","12/2/1993"
"18","SOC. MINERA SAN MIGUEL ","FAENA SAN MIGUEL (EX-ANDACOLLO)","IV","ELQUI","ANDACOLLO","SAN MIGUEL 6 (EX-ANDACOLLO 6)","TRANQUE DE RELAVE","ORO","6653570.02","301221.18","-30.2332","-71.0656","INACTIVO","S/I","3743.9402278954","93590","0","140385","0","1000","S/I","S/I","1/19/1987"
"19","SOC. MINERA SAN MIGUEL ","FAENA SAN MIGUEL (EX-ANDACOLLO)","IV","ELQUI","ANDACOLLO","SAN MIGUEL 2 (EX-ANDACOLLO 2)","TRANQUE DE RELAVE","ORO","6653560.10","301062.43","-30.2333","-71.0673","INACTIVO","AGUAS ARRIBA","3618.7356070853","18560","0","27840","0","S/I","S/I","S/I","S/I"
"20","SOC. MINERA SAN MIGUEL ","FAENA SAN MIGUEL (EX-ANDACOLLO)","IV","ELQUI","ANDACOLLO","SAN MIGUEL 3 (EX-ANDACOLLO 3)","TRANQUE DE RELAVE","ORO","6653494.62","301077.64","-30.2338","-71.0671","INACTIVO","AGUAS ARRIBA","3586.2659063938","24000","0","36000","0","S/I","S/I","S/I","S/I"
"21","CIA. MINERA ZALDIVAR","ZALDIVAR","II","ANTOFAGASTA","ANTOFAGASTA","EMBALSE DE RELAVES 3A","EMBALSE","COBRE","7326819.51","495857.83","-24.1712","-69.0408","ACTIVO","EMBALSE","149654.50716294","14957106","9392164","22435660","  15,804,901 ","938","1647","6/19/2015","4/12/2017"
"22","ALTONORTE","FAENA ALTONORTE","II","ANTOFAGASTA","ANTOFAGASTA","EMBALSE DE RELAVES","EMBALSE","COBRE","7366632.76","363074.76","-23.8057","-70.3441","ACTIVO","EN PASTA","18200.268398954","7109504","643309","17205000","  1,612,498 ","1786","1616","8/25/2009","9/9/2005"
"23","MINERA MERIDIAN","EL PEÑON","II","ANTOFAGASTA","ANTOFAGASTA","EL PEÑON","FILTRADO","ORO","7299615.81","450317.38","-24.4161","-69.4901","INACTIVO","S/I","125389.56411615","9866667","0","14800000","0","85","137","1/29/2010","1/13/2003"
"24","CESAR MOREN EIRL","PLANTA CAPOTE AURIFERO","III","HUASCO","FREIRINA","EMBALSE DE RELAVES ANTIGUOS CAPOTE AURIFERO","EMBALSE","ORO","6866304.00","308837.00","-28.3155","-70.9497","INACTIVO","EMBALSE","S/I","S/I","S/I","60000","S/I","0509","S/I","S/I","03-07-2020"
"25","MIGUEL DAY","PLANTA DAY","III","COPIAPO","COPIAPO","DAY 2","TRANQUE DE RELAVE","ORO","6969503.27","367382.76","-27.3914","-70.3413","ACTIVO","AGUAS ABAJO","2822.9573401739","36492","68106","  54,739 ","  102,780 ","828","S/I","S/I","8/9/1984"
"26","WALDO FERREL OJAVO","PLANTA PUNITAQUI","IV","LIMARI","PUNITAQUI","PUNITAQUI 1","TRANQUE DE RELAVE","ORO","6585979.57","284871.77","-30.8399","-71.2494","INACTIVO","AGUAS ARRIBA","1020.1668265432","2400","0","3600","0","1042","S/I","S/I","S/I"
"27","NELSON ZUÑIGA CARVAJAL","PLANTA SANTA LAURA","III","COPIAPO","COPIAPO","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","6965601.33","369869.61","-27.4268","-70.3165","ACTIVO","S/I","7062.9979520435","31200","24137","46800","36206","1767","251","5/19/2017","9/29/2000"
"28","LUIS CORTES JARA","PLANTA MARIA ISABEL","III","COPIAPO","TIERRA AMARILLA","TRANQUE DE RELAVE","TRANQUE DE RELAVE","HIERRO","6964413.28","374360.24","-27.4380","-70.2712","INACTIVO","S/I","4557.4331214403","49000","0","  73,500 ","  2,180 ","702","416","11/6/2015","7/15/1986"
"29","PEDRO JESUS CASTILLO VEGA","PLANTA RAPELINA","III","COPIAPO","COPIAPO","RAPELINA","EMBALSE","ORO","6969385.41","367309.42","-27.3924","-70.3420","ACTIVO","EMBALSE","2948.2299271666","37461","15100","  56,192 ","  4,520 ","190","659","12/30/2016","2/4/1986"
"30","ENAMI","PLANTA MATTA","III","COPIAPO","COPIAPO","TRANQUE DE RELAVE 3","TRANQUE DE RELAVE","COBRE","6968324.39","376075.86","-27.4028","-70.2535","ACTIVO","EJE CENTRAL","8504.0706909176","18419769","17230987","  27,629,653 ","  17,616,457 ","1904","2649","10/22/2015","7/24/2019"
"31","ENAMI","PLANTA MATTA","III","COPIAPO","COPIAPO","RELAVES FILTRADOS","FILTRADO","COBRE","6968193.12","375424.33","-27.4039","-70.2601","EN CONSTRUCCION","FILTRADO","S/I","S/I","S/I","17475690","S/I","1540","S/I","S/I","9/6/2022"
"32","ENAMI","PLANTA VALLENAR","III","HUASCO","VALLENAR","TRANQUE DE RELAVE 3","TRANQUE DE RELAVE","COBRE","6838971.37","330316.11","-28.5651","-70.7348","INACTIVO","AGUAS ABAJO","2968.7087223971","2290533","2531502","3773300","3797254","861","1574","6/9/2015","9/13/2007"
"33","SOC. CONTRACTUAL MINERA ALIANZA","PLANTA VIÑITA AZUL","III","COPIAPO","COPIAPO","TRANQUE 3","TRANQUE DE RELAVE","COBRE","6966704.10","369079.96","-27.4168","-70.3244","INACTIVO","EJE CENTRAL","5783.2309367194","72490","88312","108735","132468","268","345","4/30/2014","4/10/2014"
"34","CODELCO","EL TENIENTE","VI","CACHAPOAL","DONIHUE","PISCINA EMERGENCIA","EMBALSE","COBRE","6214584.86","329214.23","-34.1958","-70.8535","INACTIVO","EMBALSE","10411.294105341","10924","0","16386","0","S/I","S/I","S/I","S/I"
"35","CODELCO","SALVADOR","III","CHAÑARAL","DIEGO DE ALMAGRO","PAMPA AUSTRAL","EMBALSE","COBRE-MOLIBDENO","7096834.34","391878.24","-26.2441","-70.0826","ACTIVO","EMBALSE","16552.612065162","271990000","242440329","  353,590,000 ","  339,160,524 ","976","1514","6/1/2011","4/10/2015"
"36","SINDICATO ARTESANAL MINERO POZO SECO","PLANTA POZO SECO","III","HUASCO","VALLENAR","TRANQUE DE RELAVE","TRANQUE DE RELAVE","ORO","6818034.49","326736.85","-28.7535","-70.7745","INACTIVO","S/I","19772.061189442","1900","0","2850","0","S/I","S/I","S/I","S/I"
"37","OP MINING CHILE SpA","PLANTA OP (EX FARAH)","III","COPIAPO","COPIAPO","FARAH 1-2-3-4-5-6-7","TRANQUE DE RELAVE","COBRE-ORO-HIERRO","6967802.40","366905.93","-27.4067","-70.3463","INACTIVO","S/I","4573.2188882797","187300","0","280950","0","82","281","8/13/2015","3/3/2015"
"38","SOC. GUERRERO HERMANOS Y CIA. LTDA.","PLANTA ARCADIO","III","COPIAPO","COPIAPO","ARCADIO","EMBALSE","COBRE-ORO","6967647.39","366008.74","-27.4080","-70.3554","ACTIVO","EMBALSE","4950.3661165352","  23,032 ","  25,935 ","  34,548 ","31083","271","337","4/25/2014","4/11/2014"
"39","CODELCO","EL TENIENTE","VI","CACHAPOAL","REQUINOA","EMERGENCIA 2","EMBALSE","COBRE","6210922.29","344959.11","-34.2312","-70.6834","INACTIVO","EMBALSE","8798.677358133","43069","0","64603","0","S/I","S/I","S/I","S/I"
"40","DESCONOCIDO","LOS PIMIENTOS","II","ANTOFAGASTA","TALTAL","LOS PIMIENTOS 1","TRANQUE DE RELAVE","COBRE-ORO","7188319.70","399222.58","-25.4186","-70.0021","ABANDONADO","AGUAS ARRIBA","107682.57283136","31500","0","47250","0","S/I","S/I","S/I","S/I"
"41","LOS COBRES DE ATACAMA","PLANTA LICEO MANUEL MALAGAES","III","CHAÑARAL","DIEGO DE ALMAGRO","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","7080786.04","394955.61","-26.3892","-70.0531","ABANDONADO","S/I","622.12214405813","4840","0","5808","0","S/I","S/I","S/I","S/I"
"42","MAYA ENTERPRISES LTDA.","PLANTA ANDACOLLO","III","COPIAPO","COPIAPO","EMBALSE MAYA","EMBALSE","COBRE","6966458.40","362859.08","-27.4184","-70.3874","INACTIVO","EMBALSE","7574.6341787491","2560","0","3840","0","S/I","S/I","S/I","S/I"
"43","SCM SAN SEBASTIAN","PLANTA ANDREA","III","COPIAPO","COPIAPO","TRANQUE DE RELAVE","EMBALSE","COBRE-ORO","6970997.23","372402.86","-27.3783","-70.2903","INACTIVO","EMBALSE","4915.455220333","6404","0","9606","0","648","S/I","S/I","7/17/1987"
"44","INVERSIONES NUTRAM S.A.","PLANTA COBRE NORTE","III","HUASCO","VALLENAR","COBRE NORTE","TRANQUE DE RELAVE","COBRE","6840803.42","330028.49","-28.5485","-70.7374","ACTIVO","AGUAS ABAJO","3875.8495858458","439215","603854","  672,000 ","  1,545,563 ","763","147","3/11/2016","9/8/2008"
"45","DESCONOCIDO","PLANTA CARMEN","III","HUASCO","VALLENAR","TRANQUE DE RELAVES CARMEN","S/I","COBRE-ORO","6836732.00","329068.00","-28.5851","-70.7479","ABANDONADO","S/I","S/I","S/I","0","S/I","S/I","S/I","S/I","S/I","S/I"
"46","DESCONOCIDO","PLANTA CALLEJAS VALLENAR","III","HUASCO","VALLENAR","TRANQUE DE RELAVES CALLEJAS VALLENAR","S/I","COBRE-ORO","6838018.80","326834.91","-28.5732","-70.7705","ABANDONADO","S/I","S/I","S/I","0","S/I","S/I","S/I","S/I","S/I","S/I"
"47","DESCONOCIDO","PLANTA TORINO","III","HUASCO","VALLENAR","TORINO 1","S/I","COBRE-ORO","6836571.61","329545.81","-28.5866","-70.7430","ABANDONADO","S/I","S/I","S/I","0","S/I","S/I","S/I","S/I","S/I","S/I"
"48","DESCONOCIDO","PLANTA TORINO","III","HUASCO","VALLENAR","TORINO 2","S/I","COBRE-ORO","6836446.50","329599.22","-28.5878","-70.7425","ABANDONADO","S/I","S/I","S/I","0","S/I","S/I","S/I","S/I","S/I","S/I"
"49","ELIAS RESK CONTRERAS (SOC. MINERA SANTA TERESA)","PLANTA SANTA TERESA","III","COPIAPO","COPIAPO","SANTA TERESA 1","TRANQUE DE RELAVE","ORO","6968917.42","366913.70","-27.3966","-70.3461","INACTIVO","EJE CENTRAL","3476.9876764644","4050","0","6075","0","531","S/I","S/I","S/I"
"50","OSCAR GOMEZ ESCOBAR","PLANTA MONSERRAT","III","COPIAPO","COPIAPO","MONSERRAT","TRANQUE DE RELAVE","ORO","6967256.05","365659.85","-27.4115","-70.3589","INACTIVO","AGUAS ABAJO","5439.531811965","66667","0","100000","0","S/I","S/I","S/I","S/I"
"51","DESCONOCIDO","LOS PIMIENTOS","II","ANTOFAGASTA","TALTAL","LOS PIMIENTOS 3","TRANQUE DE RELAVE","COBRE-ORO","7188280.41","399234.88","-25.4190","-70.0020","ABANDONADO","AGUAS ARRIBA","107643.72271845","31500","0","47250","0","S/I","S/I","S/I","S/I"
"52","SOC. CONTRACTUAL MINERA ALIANZA","PLANTA VIÑITA AZUL","III","COPIAPO","COPIAPO","TRANQUE 2","TRANQUE DE RELAVE","COBRE","6966696.69","369586.90","-27.4169","-70.3193","INACTIVO","EJE CENTRAL","5934.5593028195","268920","227264","403380","340897","30","345","4/30/2014","1/8/1985"
"53","CHRISTIAN MOLINA OLIVER SERVICIOS MINEROS EIRL","PLANTA COYANCURA","III","COPIAPO","TIERRA AMARILLA","AMOLANAS I","EMBALSE","COBRE","6894599.00","398251.00","-28.0701","-70.0355","INACTIVO","EMBALSE","69338.050405049","42375","73718","67800","110578","190","232","5/10/2016","3/12/2014"
"54","SCM  ATACAMA KOZAN","KOZAN","III","COPIAPO","COPIAPO","EL GATO","TRANQUE DE RELAVE","COBRE","6971182.01","374840.48","-27.3769","-70.2657","ACTIVO","AGUAS ABAJO","7262.4336809219","14200000","14162908","21300000","21244362","218","2498","10/6/2015","5/17/2013"
"55","SOTRATEC-MINART LTDA.","PLANTA EL CATEADOR","III","COPIAPO","COPIAPO","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","6967554.72","366021.32","-27.4088","-70.3552","INACTIVO","AGUAS ABAJO","5033.6543358289","35120","S/I","52680","S/I","525","S/I","S/I","5/20/1998"
"56","SLM NENITA PRIMERA","PLANTA NENITA I","III","CHAÑARAL","DIEGO DE ALMAGRO","EMBALSE","EMBALSE","ORO","7040896.91","410306.00","-26.7504","-69.9020","ACTIVO","EMBALSE","42441.860040135","18000","19932","  27,000 ","  29,898 ","444","S/I","S/I","2/10/1999"
"57","SLM ESCONDIDA UNA DE LAS SIERRAS RAJO DE ORO","PLANTA CANDELARIA","III","COPIAPO","COPIAPO","CANDELARIA 1","EMBALSE","COBRE","6965791.21","369994.26","-27.4251","-70.3153","INACTIVO","EMBALSE","6923.7577203052","3984","0","5976","0","701","S/I","S/I","7/11/1988"
"58","COMERCIAL LEDESMA REPRESENTACIONES","PLANTA ANDREA","III","COPIAPO","COPIAPO","ANDREA","EMBALSE","ORO-COBRE","6970938.96","372382.61","-27.3789","-70.2906","INACTIVO","EMBALSE","4911.9196756658","5732","0","8598","0","S/I","S/I","S/I","S/I"
"59","CIA. MINERA MANTOS DE ORO","LA COIPA","III","COPIAPO","COPIAPO","RAHCO","FILTRADO","ORO-PLATA","7032394.33","471945.22","-26.8297","-69.2823","ACTIVO","S/I","90367.424406582","86000000","806008049","  129,600,000 ","  124,530,175 ","562","2875","11/17/2015","2/14/2005"
"60","SOC. MINERA CANDELARIA","PLANTA CORONA","III","COPIAPO","COPIAPO","EMBALSE CORONA","EMBALSE","COBRE","6969575.00","367725.00","-27.3907","-70.3378","ACTIVO","EMBALSE","S/I","S/I","S/I","40500","22545","982","S/I","S/I","10/26/2021"
"61","SOC. MINERA CANDELARIA","PLANTA CORONA","III","COPIAPO","COPIAPO","CORONA","TRANQUE DE RELAVE","COBRE","6969553.88","367809.33","-27.3909","-70.3369","INACTIVO","EJE CENTRAL","2761.757187014","31733","28408","47600","42613","571","S/I","S/I","6/2/1986"
"62","SOC. MINERA FORTUNA LTDA.","PLANTA PUERTO RICO","III","COPIAPO","COPIAPO","PUERTO RICO 0-1-2","TRANQUE DE RELAVE","COBRE","6969690.44","367241.55","-27.3897","-70.3427","INACTIVO","EJE CENTRAL","2655.7104321648","46800","0","70200","0","1275","271","6/2/2016","10/23/1992"
"63","CIA. MINERA MANTOS DE ORO","LA COIPA","III","COPIAPO","COPIAPO","RAKITO","TRANQUE DE RELAVE","ORO-PLATA","7031974.98","472576.33","-26.8335","-69.2760","INACTIVO","S/I","91124.966135027","581000","0","842450","0","777","2875","11/17/2015","XX-XX-1990"
"64","MINEX S.A.","PLANTA SAN EDUARDO","III","COPIAPO","COPIAPO","DEPOSITO 1","EMBALSE","COBRE","6966948.22","365979.00","-27.4143","-70.3557","INACTIVO","EMBALSE","5622.9066008754","4062","2084","5100","3126","124","S/I","S/I","3/20/2015"
"65","SOC. MINERA SAN JOAQUIN","PLANTA SAN JOAQUIN","III","COPIAPO","TIERRA AMARILLA","SAN JOAQUIN 1","TRANQUE DE RELAVE","COBRE-ORO","6963819.67","374324.89","-27.4433","-70.2717","INACTIVO","AGUAS ARRIBA","3975.0621061072","13000","0","19500","0","S/I","S/I","S/I","S/I"
"66","SOC. MINERA SAN JOAQUIN","PLANTA SAN JOAQUIN","III","COPIAPO","TIERRA AMARILLA","SAN JOAQUIN 2","TRANQUE DE RELAVE","COBRE-ORO","6963864.12","374230.17","-27.4429","-70.2726","INACTIVO","AGUAS ARRIBA","4034.8660053278","8500","0","12750","0","S/I","S/I","S/I","S/I"
"67","CIA. MINERA FALDA VERDE","PLANTA FALDA VERDE","III","CHAÑARAL","CHAÑARAL","FALDA VERDE","EMBALSE","COBRE","7087855.91","339751.69","-26.3202","-70.6055","INACTIVO","EMBALSE","3154.0729331267","333334","0","500000","0","2417","S/I","S/I","8/11/2011"
"68","COEMIN S.A.","PLANTA CERRILLOS","III","COPIAPO","TIERRA AMARILLA","TRANQUE DE RELAVE 3","TRANQUE DE RELAVE","COBRE","6949582.95","377987.16","-27.5721","-70.2360","ACTIVO","EJE CENTRAL","10748.621260141","3877533","3784633","  5,816,300 ","  5,645,652 ","817","1789","7/8/2015","11/27/2013"
"69","CIA. EXPLORACION DE MINAS SAN ANDRES","PLANTA ELISA DE BORDOS","III","COPIAPO","TIERRA AMARILLA","ELISA DE BORDOS 2","TRANQUE DE RELAVE","COBRE","6933657.92","382786.51","-27.7163","-70.1890","INACTIVO","S/I","27380.987526837","105720","0","158580","0","S/I","S/I","S/I","S/I"
"70","CIA. CONTRACTUAL MINERA CANDELARIA","CANDELARIA","III","COPIAPO","TIERRA AMARILLA","CANDELARIA","TRANQUE DE RELAVE","COBRE","6956712.33","370491.63","-27.5071","-70.3112","ACTIVO","AGUAS ABAJO","5480.7269300881","375707862","367279997","  563,561,793 ","  550,919,996 ","771","291","3/3/2009","4/13/2016"
"71","SOC. ZEPEDA Y ALVAREZ","PLANTA EL TRIUNFO","IV","LIMARI","PUNITAQUI","TRANQUE DE RELAVE ","TRANQUE DE RELAVE","ORO","6588013.95","301733.87","-30.8245","-71.0728","ABANDONADO","S/I","17492.610911175","216000","0","324000","0","S/I","S/I","S/I","S/I"
"72","MATILDE VIUDA DE ALFARO","PLANTA PUNITAQUI 1-2","IV","LIMARI","PUNITAQUI","TRANQUE DE RELAVE","TRANQUE DE RELAVE","ORO","6585030.53","284551.53","-30.8484","-71.2530","INACTIVO","S/I","1802.0372115245","1733","0","2600","0","S/I","S/I","S/I","S/I"
"73","SOC. SANTA CAMILA","SANTA CAMILA","IV","LIMARI","PUNITAQUI","CAMILA 1-2 ","TRANQUE DE RELAVE","ORO","6583432.60","285089.57","-30.8629","-71.2477","ABANDONADO","S/I","3474.7993901266","5532","0","8298","0","41","S/I","S/I","1/14/1991"
"74","MINERA SAN PEDRO LTDA.","PLANTA POLCURA INTEGRADA","RM","CHACABUCO","TILTIL","EMBALSE DE RELAVES","EMBALSE","COBRE","6335455.73","321323.74","-33.1049","-70.9148","ACTIVO","EMBALSE","2598.2740689174","134400","220396","208200","330594","364","1833","10/8/2009","4/16/2008"
"75","MINERA SAN PEDRO S.A","PLANTA POLCURA INTEGRADA","RM","CHACABUCO","TILTIL","MSP 2","FILTRADO","S/I","6335835.06","322119.11","-33.1016","-70.9062","ACTIVO","S/I","S/I","S/I","S/I","S/I","S/I","S/I","S/I","S/I","S/I"
"76","CEMENTO POLPAICO S.A.","CERRO BLANCO","RM","CHACABUCO","TILTIL","TRANQUE RELAVE 5","TRANQUE DE RELAVE","CARBONATO DE CALCIO","6328335.58","329838.13","-33.1704","-70.8249","ACTIVO","AGUAS ABAJO","13589.363336575","6380000","6526153","  9,570,000 ","  10,590,184 ","745","2016","8/11/2015","9/8/1998"
"77","SERVICIOS Y OPERACIONES MINERAS DEL NORTE S.A.","PLANTA EL MEMBRILLO","RM","MELIPILLA","ALHUE","TRANQUE DE RELAVE","TRANQUE DE RELAVE","ORO","6232859.13","323034.88","-34.0300","-70.9168","ABANDONADO","S/I","16825.770051509","115334","0","173000","0","S/I","S/I","S/I","S/I"
"78","LA PACIENCIA (HANS HEIN STAEGER)","LA PACIENCIA","V","LOS ANDES","RINCONADA","LA PACIENCIA","TRANQUE DE RELAVE","COBRE","6365462.66","339764.32","-32.8372","-70.7121","ABANDONADO","S/I","9727.4756605899","319398","0","479097","0","S/I","S/I","S/I","S/I"
"79","SOC. INMOBILIARIA EL SAUCE","PLANTA EL SAUCE","V","SAN FELIPE","LLAYLLAY","EL SAUCE 1-2-3","TRANQUE DE RELAVE","COBRE","6361606.95","322689.47","-32.8693","-70.8951","INACTIVO","S/I","20864.678188241","206850","0","299932","0","157","S/I","S/I","1/26/1996"
"80","LEOPOLDO HERNANDEZ","PLANTA HERNANDEZ","IV","CHOAPA","ILLAPEL","HERNANDEZ 2","EMBALSE","COBRE","6501151.13","298118.30","-31.6071","-71.1281","ABANDONADO","EMBALSE","4410.4427159808","5487","0","8230","0","569","S/I","S/I","6/2/1986"
"81","CIA. MINERA CERRO DOMINADOR","PLANTA CALLEJAS ZAMORA","II","ANTOFAGASTA","SIERRA GORDA","DEPOSITO 5","EMBALSE","COBRE","7477353.37","459234.56","-22.8109","-69.3972","ACTIVO","EMBALSE","62718.691178419","237152","169568","429246","  325,181 ","S/I","S/I","S/I","S/I"
"82","CODELCO","ANDINA","V","LOS ANDES","LOS ANDES","LOS LEONES","EMBALSE","COBRE-MOLIBDENO","6350216.24","384025.67","-32.9803","-70.2412","INACTIVO","EMBALSE","36989.420208603","140000000","  125,409,295 ","210000000","  307,252,773 ","381","2777","11/3/2015","9/6/1978"
"83","CODELCO","ANDINA","V","LOS ANDES","LOS ANDES","PIUQUENES","TRANQUE DE RELAVE","COBRE-MOLIBDENO","6348008.77","382761.20","-33.0000","-70.2550","INACTIVO","AGUAS ABAJO","36852.832232272","22000000","22000000","33000000","33000000","1726","2777","11/3/2015","8/22/2016"
"84","CODELCO","ANDINA","RM","CHACABUCO","TILTIL","OVEJERIA","TRANQUE DE RELAVE","COBRE","6342552.18","332000.67","-33.0426","-70.7991","ACTIVO","AGUAS ABAJO","12995.406727749","1286666667","345816624","  1,930,000,000 ","  608,092,472 ","654","2777","11/3/2015","5/16/2014"
"85","COMERCIAL E INVERSIONES HASPARREN","PLANTA MINERA BLACK COLT","V","PETORCA","PETORCA","ZORRITO","EMBALSE","ORO","6434122.33","323772.11","-32.2157","-70.8700","INACTIVO","EMBALSE","7406.4021088149","36000","52304","72000","78456","78","S/I","S/I","2/17/2011"
"86","CIA. MINERA CLARITA S.A.","MINAS Y PLANTA BELLAVISTA","V","SAN FELIPE","SAN FELIPE","EMBALSE DE RELAVES 4","EMBALSE","COBRE","6381544.14","332243.30","-32.6911","-70.7895","INACTIVO","EMBALSE","9030.043621983","93000","279","139500","4185","680","S/I","S/I","6/10/2013"
